# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-337.59412236	0.05529150
-337.56076595	0.01156238
-337.52740955	-0.01812229
-337.49405314	-0.03655920
-337.46069673	-0.04816340
-337.42734032	-0.05821836
-337.39398391	-0.07015727
-337.36062750	-0.08550843
-337.32727109	-0.10389970
-337.29391468	-0.12398722
-337.26055827	-0.14028241
-337.22720186	-0.14927465
-337.19384545	-0.14794497
-337.16048904	-0.13424814
-337.12713263	-0.10890650
-337.09377622	-0.07434911
-337.06041981	-0.03321597
-337.02706340	0.01522781
-336.99370699	0.06499486
-336.96035058	0.11374578
-336.92699417	0.15875291
-336.89363776	0.19764477
-336.86028136	0.22345615
-336.82692495	0.23381866
-336.79356854	0.22737965
-336.76021213	0.20262252
-336.72685572	0.16294506
-336.69349931	0.11278600
-336.66014290	0.05704242
-336.62678649	-0.00148685
-336.59343008	-0.05448303
-336.56007367	-0.09976571
-336.52671726	-0.13610777
-336.49336085	-0.16415077
-336.46000444	-0.18094316
-336.42664803	-0.18696802
-336.39329162	-0.18277614
-336.35993521	-0.16856978
-336.32657880	-0.14688205
-336.29322239	-0.12042333
-336.25986598	-0.09134114
-336.22650957	-0.06021682
-336.19315316	-0.03159626
-336.15979676	-0.00637190
-336.12644035	0.01577097
-336.09308394	0.03558709
-336.05972753	0.05273337
-336.02637112	0.06767754
-335.99301471	0.08067976
-335.95965830	0.09165070
-335.92630189	0.09886589
-335.89294548	0.10139329
-335.85958907	0.09820456
-335.82623266	0.08805638
-335.79287625	0.07081601
-335.75951984	0.04683480
-335.72616343	0.01754495
-335.69280702	-0.01706222
-335.65945061	-0.05136665
-335.62609420	-0.08267240
-335.59273779	-0.10812541
-335.55938138	-0.12558184
-335.52602497	-0.13184543
-335.49266856	-0.12668604
-335.45931216	-0.11065796
-335.42595575	-0.08262282
-335.39259934	-0.04568424
-335.35924293	-0.00058707
-335.32588652	0.05075426
-335.29253011	0.10731417
-335.25917370	0.16097279
-335.22581729	0.20653767
-335.19246088	0.23935432
-335.15910447	0.25637435
-335.12574806	0.25389443
-335.09239165	0.23372263
-335.05903524	0.19852399
-335.02567883	0.15069684
-334.99232242	0.09756166
-334.95896601	0.04281713
-334.92560960	-0.01047957
-334.89225319	-0.06246505
-334.85889678	-0.10598741
-334.82554037	-0.13918313
-334.79218396	-0.15978577
-334.75882756	-0.16686316
-334.72547115	-0.16169106
-334.69211474	-0.14867829
-334.65875833	-0.13303145
-334.62540192	-0.11876410
-334.59204551	-0.10912876
-334.55868910	-0.10311088
-334.52533269	-0.09765843
-334.49197628	-0.08786319
-334.45861987	-0.07083802
-334.42526346	-0.04669498
-334.39190705	-0.01765843
-334.35855064	0.01332762
-334.32519423	0.03854540
-334.29183782	0.05480175
-334.25848141	0.06068155
-334.22512500	0.05684062
-334.19176859	0.04644774
-334.15841218	0.03305562
-334.12505577	0.01954698
-334.09169936	0.00742923
-334.05834296	-0.00113490
-334.02498655	-0.00533426
-333.99163014	-0.00421102
-333.95827373	0.00366371
-333.92491732	0.01891049
-333.89156091	0.04149902
-333.85820450	0.07038289
-333.82484809	0.10563611
-333.79149168	0.14189398
-333.75813527	0.17688049
-333.72477886	0.20716065
-333.69142245	0.23080865
-333.65806604	0.24431879
-333.62470963	0.24748617
-333.59135322	0.24009990
-333.55799681	0.22140151
-333.52464040	0.19309217
-333.49128399	0.15651723
-333.45792758	0.11478052
-333.42457117	0.07129780
-333.39121476	0.03351601
-333.35785836	0.00522574
-333.32450195	-0.01097675
-333.29114554	-0.01412645
-333.25778913	-0.00489068
-333.22443272	0.01424012
-333.19107631	0.03997941
-333.15771990	0.06972988
-333.12436349	0.09881152
-333.09100708	0.12404032
-333.05765067	0.14205213
-333.02429426	0.14928141
-332.99093785	0.14032311
-332.95758144	0.11177440
-332.92422503	0.06020851
-332.89086862	-0.01860340
-332.85751221	-0.12045165
-332.82415580	-0.24492337
-332.79079939	-0.38694138
-332.75744298	-0.54757473
-332.72408657	-0.70758812
-332.69073017	-0.86075920
-332.65737376	-0.99212553
-332.62401735	-1.09047992
-332.59066094	-1.14016346
-332.55730453	-1.13778062
-332.52394812	-1.08337375
-332.49059171	-0.97648151
-332.45723530	-0.83182801
