# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-352.73793229	-0.10992954
-352.70457588	-0.11568064
-352.67121947	-0.12022046
-352.63786306	-0.12519628
-352.60450665	-0.13150337
-352.57115024	-0.13904732
-352.53779383	-0.14646094
-352.50443742	-0.15240059
-352.47108101	-0.15557130
-352.43772460	-0.15580411
-352.40436819	-0.15322020
-352.37101178	-0.14825875
-352.33765537	-0.14138857
-352.30429896	-0.13345241
-352.27094255	-0.12578606
-352.23758614	-0.11839230
-352.20422973	-0.11143898
-352.17087332	-0.10432716
-352.13751692	-0.09646272
-352.10416051	-0.08761328
-352.07080410	-0.07705572
-352.03744769	-0.06373208
-352.00409128	-0.04732182
-351.97073487	-0.02693571
-351.93737846	-0.00417685
-351.90402205	0.02014119
-351.87066564	0.04300318
-351.83730923	0.06337455
-351.80395282	0.07932120
-351.77059641	0.09092416
-351.73724000	0.09806382
-351.70388359	0.10152957
-351.67052718	0.10223060
-351.63717077	0.10053789
-351.60381436	0.09680656
-351.57045795	0.09091317
-351.53710154	0.08293999
-351.50374513	0.07265858
-351.47038872	0.06108678
-351.43703232	0.04796270
-351.40367591	0.03504565
-351.37031950	0.02279135
-351.33696309	0.01250528
-351.30360668	0.00425667
-351.27025027	-0.00203104
-351.23689386	-0.00626311
-351.20353745	-0.00855441
-351.17018104	-0.00924884
-351.13682463	-0.00894349
-351.10346822	-0.00886117
-351.07011181	-0.00965500
-351.03675540	-0.01168466
-351.00339899	-0.01520829
-350.97004258	-0.02012497
-350.93668617	-0.02618161
-350.90332976	-0.03292069
-350.86997335	-0.03950346
-350.83661694	-0.04525900
-350.80326053	-0.04928812
-350.76990412	-0.05150649
-350.73654772	-0.05172647
-350.70319131	-0.04968723
-350.66983490	-0.04565815
-350.63647849	-0.04017584
-350.60312208	-0.03420430
-350.56976567	-0.02820025
-350.53640926	-0.02249077
-350.50305285	-0.01686106
-350.46969644	-0.01121280
-350.43634003	-0.00510766
-350.40298362	0.00140292
-350.36962721	0.00885949
-350.33627080	0.01693544
-350.30291439	0.02506248
-350.26955798	0.03264646
-350.23620157	0.03927222
-350.20284516	0.04459747
-350.16948875	0.04836631
-350.13613234	0.05020571
-350.10277593	0.05058981
-350.06941952	0.04999783
-350.03606312	0.04923996
-350.00270671	0.04917984
-349.96935030	0.04975714
-349.93599389	0.05096336
-349.90263748	0.05169169
-349.86928107	0.05126579
-349.83592466	0.04836219
-349.80256825	0.04323327
-349.76921184	0.03588329
-349.73585543	0.02726939
-349.70249902	0.01801300
-349.66914261	0.00920842
-349.63578620	0.00104194
-349.60242979	-0.00580465
-349.56907338	-0.01180279
-349.53571697	-0.01642835
-349.50236056	-0.01988990
-349.46900415	-0.02176517
-349.43564774	-0.02207764
-349.40229133	-0.02072375
-349.36893492	-0.01792179
-349.33557852	-0.01396908
-349.30222211	-0.00918658
-349.26886570	-0.00447365
-349.23550929	-0.00021179
-349.20215288	0.00312093
-349.16879647	0.00524603
-349.13544006	0.00594686
-349.10208365	0.00587748
-349.06872724	0.00522575
-349.03537083	0.00503854
-349.00201442	0.00619400
-348.96865801	0.00926540
-348.93530160	0.01445904
-348.90194519	0.02120982
-348.86858878	0.02814573
-348.83523237	0.03439846
-348.80187596	0.03898051
-348.76851955	0.04133023
-348.73516314	0.04155322
-348.70180673	0.04047687
-348.66845033	0.03901705
-348.63509392	0.03753744
-348.60173751	0.03624776
-348.56838110	0.03498255
-348.53502469	0.03344520
-348.50166828	0.03178064
-348.46831187	0.03006584
-348.43495546	0.02850700
