# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-350.70319131	0.00435115
-350.66983490	0.00514202
-350.63647849	0.00698677
-350.60312208	0.00988841
-350.56976567	0.01381024
-350.53640926	0.01851297
-350.50305285	0.02332044
-350.46969644	0.02731461
-350.43634003	0.03047449
-350.40298362	0.03205789
-350.36962721	0.03269671
-350.33627080	0.03285473
-350.30291439	0.03299747
-350.26955798	0.03331874
-350.23620157	0.03342343
-350.20284516	0.03275507
-350.16948875	0.03086069
-350.13613234	0.02735235
-350.10277593	0.02249056
-350.06941952	0.01684282
-350.03606312	0.01182088
-350.00270671	0.00891546
-349.96935030	0.00923848
-349.93599389	0.01223662
-349.90263748	0.01718029
-349.86928107	0.02265799
-349.83592466	0.02762605
-349.80256825	0.03102374
-349.76921184	0.03325520
-349.73585543	0.03440716
-349.70249902	0.03535592
-349.66914261	0.03611015
-349.63578620	0.03684557
-349.60242979	0.03775861
-349.56907338	0.03866585
-349.53571697	0.03969169
-349.50236056	0.04151270
-349.46900415	0.04395984
-349.43564774	0.04684107
-349.40229133	0.04935228
-349.36893492	0.05104551
-349.33557852	0.05112918
-349.30222211	0.04962811
-349.26886570	0.04694628
-349.23550929	0.04358700
-349.20215288	0.04012515
-349.16879647	0.03693533
-349.13544006	0.03340652
-349.10208365	0.02905435
-349.06872724	0.02337048
-349.03537083	0.01662460
-349.00201442	0.00976326
-348.96865801	0.00333209
-348.93530160	-0.00159383
-348.90194519	-0.00414430
-348.86858878	-0.00445552
-348.83523237	-0.00289408
-348.80187596	-0.00014486
-348.76851955	0.00336692
-348.73516314	0.00710778
-348.70180673	0.01117834
-348.66845033	0.01546731
-348.63509392	0.01936671
-348.60173751	0.02222902
-348.56838110	0.02288951
-348.53502469	0.02092319
-348.50166828	0.01595300
-348.46831187	0.00918423
-348.43495546	0.00183490
-348.40159905	-0.00460096
-348.36824264	-0.00905169
-348.33488623	-0.01183480
-348.30152982	-0.01392611
-348.26817341	-0.01579770
-348.23481700	-0.01708569
-348.20146059	-0.01746679
-348.16810418	-0.01638964
-348.13474777	-0.01367736
-348.10139136	-0.01003811
-348.06803495	-0.00641862
-348.03467854	-0.00364061
-348.00132213	-0.00231927
-347.96796573	-0.00264663
-347.93460932	-0.00443367
-347.90125291	-0.00689411
-347.86789650	-0.00922826
-347.83454009	-0.01050287
-347.80118368	-0.01018396
-347.76782727	-0.00806409
-347.73447086	-0.00321950
-347.70111445	0.00376151
-347.66775804	0.01249124
-347.63440163	0.02213056
-347.60104522	0.03171868
-347.56768881	0.03969921
-347.53433240	0.04507351
-347.50097599	0.04746931
-347.46761958	0.04660946
-347.43426317	0.04255350
-347.40090676	0.03639832
-347.36755035	0.02903559
-347.33419394	0.02169489
-347.30083753	0.01574389
-347.26748113	0.01149136
-347.23412472	0.00830024
-347.20076831	0.00580951
-347.16741190	0.00364283
-347.13405549	0.00171797
-347.10069908	0.00125763
-347.06734267	0.00351231
-347.03398626	0.00955610
-347.00062985	0.01887640
-346.96727344	0.03132672
-346.93391703	0.04519428
-346.90056062	0.05815324
-346.86720421	0.06743567
-346.83384780	0.07230990
-346.80049139	0.07154389
-346.76713498	0.06583925
-346.73377857	0.05686096
-346.70042216	0.04577580
-346.66706575	0.03395246
-346.63370934	0.02281081
-346.60035293	0.01341582
-346.56699653	0.00581960
-346.53364012	0.00062278
-346.50028371	-0.00209632
-346.46692730	-0.00274092
-346.43357089	-0.00189904
-346.40021448	-0.00005291
-346.36685807	0.00174972
-346.33350166	0.00345537
-346.30014525	0.00504487
-346.26678884	0.00684002
-346.23343243	0.00913369
